fault,section,x,y,z
F_right,S4,803.1341700076626,716.9857434883421,-379.472047157946
F_right,S5,804.3463445116969,899.5010414157016,-31.88777464326906
F_right,S5,789.768721765991,890.2631971046021,-63.99274539816723
F_right,S5,799.0246740353846,897.2089030108247,-86.34999628503154
F_right,S5,798.8766651604196,899.5270966078995,-127.62919049672459
F_right,S5,795.1056821811584,898.0272946083626,-146.5726368560208
F_right,S5,798.8748473761112,900.0705962848831,-180.65841462491272
F_right,S5,792.384617479356,897.2601025923807,-198.268798814471
F_right,S5,796.4130569897134,895.1217416478735,-242.96623696569608
F_right,S5,805.8091493684572,897.9579835030901,-265.13308960440907
F_right,S5,803.2919421047219,898.4554754712334,-298.3321053500758
F_right,S5,799.6630684865273,903.1340383026724,-328.7712533244195
F_right,S5,792.8498727538092,899.2342293193134,-344.27589411201666
